TIPOLOGIA_STRUTTURA;ASP;DENOMINAZIONE_STRUTTURA;INDIRIZZO_SEDE_OPERATIVA;CITTA';SOGGETTO_GESTORE;INDIRIZZO_SEDE_LEGALE;NUMERO_TELEFONO;PEC;PROVVEDIMENTO_DI_ACCREDITAMENTO
RETE LAC;RC;Laboratorio Analisi  Cliniche Centro Diagnostico Alfa s.n.c.;Via Marchese;Bianco;Laboratorio Analisi  Cliniche Centro Diagnostico Alfa s.n.c.;Via Marchese Bianco (RC);0964 911597;laboratorioanalisialfa.ascoa@legalmail.it;D.P.G.R. N. 1/2011 Nota prot. 214230 del 05/06/19
RETE LAC;RC;Laboratorio Analisi  Cliniche IGEA s.r.l.;Via Trastevere,77;Roccella Jonica;Laboratorio Analisi  Cliniche IGEA s.r.l.;Via Trastevere,77 Roccella Jonica (RC);0964 85993;laboratorioigeasrl@pec.it;D.P.G.R. N. 1/2011 DCA n.128 del 01/12/2016
RETE LAC;RC;Laboratorio Analisi Cliniche Polidiagnostica Meridionale s.r.l.;Via Vitetta, 6;Reggio Calabria;Laboratorio Analisi Cliniche Polidiagnostica Meridionale s.r.l.;Via Vitetta, 6 Reggio Calabria;0965 590612;poli.meridionale@pec.it;D.P.G.R. N. 1/2011
RETE LAC;RC;Laboratorio Analisi Cliniche                      Istituto di Patologia Clinica EUROPA s.r.l.;Via S. Caterina, 57;Reggio Calabria;Analisi Cliniche EUROPA s.r.l.;Via S. Caterina, 57 Reggio Calabria; 0965 44998;analisi.cliniche.europa@postecert.it;D.P.G.R. N. 1/2011
RETE LAC;RC;Laboratorio Analisi Clinico Chimiche Dr.ssa G. Zoccali Srl;Via N. Bixio, 8;Melito Porto Salvo;Laboratorio Analisi Clinico Chimiche Dr.ssa G. Zoccali Srl;Via N. Bixio, 8 Melito Porto Salvo (RC);0965 781659;g.zoccali.labzoccali@cert.ticertifica.it;D.P.G.R. N. 1/2011 - nota prot. 138780 del 04/04/2019
RETE LAC;RC;Laboratorio Analisi Cliniche  Dr. Francesco Siracusa Rizzi s.r.l.;Via Nazionale, 38;Archi, Reggio Calabria;Laboratorio Analisi Cliniche  Dr. Francesco Siracusa Rizzi s.r.l.;Via Nazionale, 38 Archi, Reggio Calabria;0965 45611;francescosiracusa.rizzi@pec.it;D.P.G.R. N. 1/2011
RETE LAC;RC;Laboratorio Analisi Cliniche A.S.A.C. S.r.l. ;Via Garibaldi, 62;Melito Porto Salvo;Laboratorio Analisi Cliniche A.S.A.C. S.r.l. ;Via Garibaldi, 62 Melito Porto Salvo (RC);0965 789328;labasac@pec.it;D.P.G.R. N. 1/2011
RETE LAC;RC;Laboratorio Analisi Cliniche Diagnostica Jonica S.r.l.;Via SS. Jonica, 123;Pellaro, Reggio Calabria;Laboratorio Analisi Cliniche Diagnostica Jonica S.r.l.;Via SS. Jonica, 123 Pellaro, Reggio Calabria;0965 358400;diagnostica.jonica@interfreepec.it;D.P.G.R. N. 1/2011
RETE LAC;RC;Laboratorio Analisi Cliniche L. Pasteur s.a.s.;Via Nazionale, 174;Catona, Reggio Calabria;Laboratorio Analisi Cliniche L. Pasteur s.a.s.;Via Nazionale, 174 Catona, Reggio Calabria;0965 304911-329 3684997;pasteursas@pec.it;D.P.G.R. N. 1/2011
RETE LAC;RC;Centro Ricerche Cliniche Laser di Maria Morabito & C. s.n.c.;Via Micene, 16;Reggio Calabria;Centro Ricerche Cliniche Laser di Maria Morabito & C. s.n.c.;Via Micene, 16 Reggio Calabria;;centroricercheclinichelaser@pec.it;"D.P.G.R. N.18/2014
"
RETE LAC;CS;Nuova Gamma S.r.l. (ex Laboratorio Analisi Cliniche GAMMA s.n.c.);Viale Mancini, 355;Cosenza;Nuova Gamma S.r.l.;Viale della Repubblica, 77 Cosenza;0984  37307;nuova_gamma@pec.it;D.P.G.R. N. 1/2011 Nota PROT. N. 228345 DEL 11/07/2017 DCA N. 130 del 19/10/2017 DCA N. 203 DEL 23/10/2018 Nota prot. n. 33690 del 28/01/2019
RETE LAC;CS;Laboratorio Analisi Cliniche Dr. Luigi LEPORACE s.r.l.;Via Brenta, 24;Cosenza;Laboratorio Analisi Cliniche Dr. Luigi LEPORACE s.r.l.;Via Brenta, 24 Cosenza;0984 76543;lableporace@pec.it;D.P.G.R. N. 1/2011
RETE LAC;CS;Gamma Lab S.r.l.;Via Roma, 29;Castrovillari;Gamma Lab S.r.l.;Via Roma, 29 Castrovillari (CS);0981 446981;analysiscentersnc@legalmail.it;D.P.G.R. N. 1/2011 Nota prot. n. 90924 del 20 marzo 2015
RETE LAC;CS;Laboratorio Analisi Cliniche Centro Diagnostico CLINICAL CONTROL s.r.l.;Corso Italia, 154;Montalto Uffugo;Clinical Control Srl;Corso Italia, 170 Montalto Uffugo (CS);0984 939777;clinicalcontrol@pec.it;D.P.G.R. N. 1/2011
RETE LAC;RC;Studio Medico Polispeciliastico S. Anna di M. Saiaci & C. s.a.s.;Via S. Anna, 5      ;Laureana di Borrello;Studio Medico Polispeciliastico S. Anna di M. Saiaci & C. s.a.s.;Via S. Anna, 5 Laureana di Borrello (RC);0966 901290;studiomedicosantanna@pec.it;D.P.G.R. N. 1/2011
RETE LAC;RC;Laboratorio Analisi Cliniche Dr. Roberto Richichi s.r.l.;Via Figurella, 38;Catona-Reggio Calabria;Laboratorio Analisi Cliniche Dr. Roberto Richichi s.r.l.;Via Figurella, 38 Catona, Reggio C.;0965 302588;robertorichichisrl@pec.it;D.P.G.R. N. 1/2011
RETE LAC;RC;Laboratorio Analisi Cliniche Spanò di Spanò Teresa Elena Maria Marta & C. s.a.s.;Via Gorizia , 15;Siderno;Laboratorio Analisi Cliniche Spanò di Spanò Teresa Elena Maria Marta & C. s.a.s.;Via Gorizia , 15 Siderno (RC);0964 381327-387133;lab.spanogentile@pec.it;D.P.G.R. N. 1/2011 Nota prot. N. 135156 DEL 21/04/2017 - Nota PROT. N. 251591 DEL 31/07/2017
RETE LAC;RC;Istituto Diagnostico Medico GMM s.r.l.;Via Riviera, 4;Villa S. Giovanni;Istituto Diagnostico Medico GMM s.r.l.;Via Riviera, 4 Villa S. Giovanni (RC);0965 751075;istitutodiagnosticogmm@legalmail.it;D.P.G.R. N. 1/2011
RETE LAC;RC;Laboratorio Analisi  Cliniche ENZIMETER Istituto di Ricerche Cliniche di Scalì Gianluca & C s.a.s.;Largo Cesare Battisti, 8;Gioiosa Jonica;Laboratorio Analisi  Cliniche ENZIMETER Istituto di Ricerche Cliniche di Scalì Gianluca & C s.a.s.;Via Gramsci, 38 Gioiosa Jonica (RC);0964 419151;lab.enzimeter@legalmail.it;D.P.G.R. N. 1/2011
RETE LAC;RC;Laboratorio Analisi Cliniche Calabrese s.r.l.;Via D. Marvasi, 8;Reggio Calabria;Laboratorio Analisi Cliniche Calabrese s.r.l.;Via D. Marvasi, 8 Reggio Calabria;0965 331660;analisiclinichecalabresesrl@pec.it;D.P.G.R. N. 1/2011
RETE LAC;RC;Laboratorio Analisi Cliniche S. Antonio s.r.l.;C.so Garibaldi, 597;Reggio Calabria;Laboratorio Analisi Cliniche S. Antonio s.r.l.;C.so Garibaldi, 597 Reggio Calabria;0965 892020;analisiclinichesantonio@legalmail.it;D.P.G.R. N. 1/2011 DCA n. 120 del 24/05/2018 (decadenza autorizzazione) Ordinanza TAR 282/2018
RETE LAC;RC;Laboratorio Analisi Cliniche ANDROMEDA s.n.c.;Via P. di Piemonte, 6;S. Eufemia D'Aspromonte;Laboratorio Analisi Cliniche ANDROMEDA s.n.c.;Via P. di Piemonte, 6 S. Eufemia D'Aspromonte (RC);0966 961990;andromeda.snc@pec.it;D.P.G.R. N. 1/2011
RETE LAC;RC;Laboratorio Analisi Cliniche  Dr. Fortunato Libri s.r.l. ;Viale A. Moro Trav.XI, 36;Reggio Calabria ;Laboratorio Analisi Cliniche  Dr. Fortunato Libri s.r.l. ;Viale A. Moro Trav.XI, 36 Reggio Calabria;0965 58171;laboratoriolibri@pec.it;D.P.G.R. N. 1/2011 Nota PROT. N.172767 DEL 24/05/2017 nota prot. 433359 del 17/12/2019
RETE LAC;CS;Laboratorio Analisi Cliniche MEDICAL Analisi Cliniche S.r.l.;Via Luigi De Franco, 14;Cosenza;MEDICAL ANALISI CLINICHE S.R.L.;Via Luigi De Franco, 14 Cosenza;0984 74674;medicalanalisiclinichesrl@pec.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Centro di Medicina Fisica e Riabilitativa La Palestra S.r.l.;Via Vittorio Veneto;Cirella di Diamante;Centro di Medicina Fisica e Riabilitativa La Palestra S.r.l.;Via Vittorio Veneto Cirella di Diamante (CS);0985 86043;centrofktsrl@pec.it;"D.P.G.R. N. 1/2011 
 DCA n. 223/2018"
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Terme Sibarite SpA;Loc. Terme Luigiane;Acquappesa;Terme Sibarite SpA;Via Terme, 2 Cassano allo Jonio (CS);0981 71376;termesibarite@legalmail.it;"D.P.G.R. N. 1/2011
DCA N. 85 del 16/08/2022"
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Studio Dentistico Dr.ssa Valeria CAMERA;Via Valitutti, 18;Paola;Studio Dentistico Dr.ssa Valeria CAMERA;Via Valitutti, 18 Paola (CS);0982 582165;valeria.camera.nye6@cs.omceo.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Centro Odontoiatrico Nord Calabria s.r.l.;Viale delle Querce, 42/C;Castrovillari;Centro Odontoiatrico Nord Calabria s.r.l.;Viale delle Querce, 42/C Castrovillari (CS);0981 21309;centronordcalabria.srl@legalmail.it;D.P.G.R. N. 1/2011 Nota Prot. N. 526 28/06/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;ANMI Centro Diagnostico s.r.l.                                                   (ex Centro Diagnostico Meridionale s.r.l.);Via Cardame                         (pal. Pignataro);Corigliano-Rossano;ANMI Centro Diagnostico s.r.l.  ;Via Monte S. Michele, 13 Cosenza;0983 038132;anmicentrodiagnostico@pec.it;"D.P.G.R. N. 1/2011 
DCA N. 154/2017 nota prot. n. 382699/2017: errore materiale DCA 111/2018 
D.D.G. n.13 del 13/07/1999 DCA N. 154/2017 DCA N. 112/2018"
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Ambulatorio di Fisiokinesiterapia Guido Maria & C s.n.c.;Via A. Negri, 52;Corigliano-Rossano;Ambulatorio di Fisiokinesiterapia Guido Maria & C s.n.c.;Via A. Negri, 52 Corigliano-Rossano (CS);0983 889734;ambfisio.guido@pec.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Centro Benessere ORES di Lepera V. & C. s.a.s.;Via G. Natale;Cariati Marina;Centro Benessere ORES di Lepera V. & C. s.a.s.;Via G. Natale Cariati Marina (CS);0983 968077;centrores@pec.it;D.P.G.R. N. 1/2011 Nota Prot. N. 301168 del 12/09/2012
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Ambulatorio di Fisiokinesiterapia  PADRE PIO di PAGLIARO Angelo & C. s.n.c.;Vico I dx D. Alighieri, 7;S. Demetrio Corone;Ambulatorio di Fisiokinesiterapia Padre Pio s.n.c. & C;Vico I dx D. Alighieri, 7 San Demetrio C. (CS);0984 956161;ambulatoriosnc@pec.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Terme Sibarite s.p.a. ;Via Terme, 2 ;Cassano allo Jonio;Terme Sibarite s.p.a.;Via Terme, 2 Cassano allo Jonio (CS);0981 71376;termesibarite@legalmail.it;DCA N. 21 del 10/01/2023
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Studio Medico Odontoiatrico Dr.ssa Claudia BIONDI;Via Milano, 1;Corigliano-Rossano;Studio Medico-Odontoiatrico “Dott.ssa Claudia Biondi”;Via Milano, 1 Corigliano-Rossano (CS);0983 513421;claudia.biondi.70rk@cs.omceo.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Studio Odontoiatrico Dr. Antonio Francesco Carmine PIRO;Via S. Pertini, 15;Corigliano-Rossano;Studio Odontoiatrico Dr. Antonio Francesco Carmine PIRO;Via S. Pertini, 15 Corigliano-Rossano (CS);0983 888030;antoniofrancesco.piro.mrl4@cs.omceo.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Studio Medico Otorino Dr. MARINCOLO Liberato I.;Piazza Rinascimento, 11;Corigliano-Rossano;Studio Medico Otorino Dr. MARINCOLO Liberato I.;Piazza Rinascimento, 11 Corigliano-Rossano (CS);0983 511860;liberatoirenio.marincolo.oavz@cs.omceo.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Studio Medico Oculistico Dr.ssa Rosa SCHIAVELLI s.r.l.;Via S. Stefano, 15;Corigliano-Rossano;Studio Medico Oculistico Dr.ssa Rosa SCHIAVELLI s.r.l.;Via S. Stefano, Corigliano-Rossano (CS);0983 886065;studioschiavelli@pec.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Studio Medico Dermatologico Dr. VERRINA ;Via Largo Firenze, 3;Corigliano-Rossano;Studio Medico Dermatologico Dr. VERRINA ;Via Largo Firenze, 11 Corigliano-Rossano (CS);0983 512960;francoverrina@pec.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Centro Diabetologico Dea s.r.l.;Via G. di Vittorio, 19;Corigliano-Rossano;Centro Diabetologico Dea s.r.l.;Via G. di Vittorio, 19 Corigliano-Rossano (CS);0983 530263;deasrl@registerpec.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Centro Sanitario dell'Università della Calabria;Campus di Arcavacata, Piazza Bianchi - cubo 34/b;Rende;Centro Sanitario dell'Università della Calabria;Campus di Arcavacata, Piazza Bianchi - cubo 34/b Rende (CS);0984 496201;c.sanitario@pec.unical.it;"D.P.G.R. N. 1/2011 
DCA N. 112 del 26/04/2023"
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;CNR Istituto di Scienze Neurologiche;C.da Burga Piano Lago;Mangone;Consiglio Nazionale delle Ricerche;Piazzale A. Moro n° 7 ROMA;0984 98011;isn@pec.cnr.it;D.P.G.R. N. 1/2011 DCA n. 21 del 08-02-17 Nota prot. n. 60067/2018
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Laboratorio specializzato di Genetica Medica Biogenet s.r.l.;Via Cesare Gabriele, 70;Cosenza;Biogenet S.r.l.;Via Cesare Gabriele, 78 Cosenza;0984 846425;info@pec.biogenet.it;D.P.G.R. N. 1/2011 DCA n. 173/2017 DCA n. 176/2018
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;BIOCONTROL IMAGING s.r.l.;Via F. e G. Falcone, 5/7 ;Cosenza;BIOCONTROL IMAGING s.r.l.;"Via Trieste, 13
Rende";0984 35705;biocontrolimagingsrl@legalmail.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Studio Radiologico Sant'Anna di Caputo Maria Chiara & C. s.a.s.;Via Ugo Spirito, 25;Cosenza;Studio Radiologico Sant'Anna di Caputo Maria Chiara & C. s.a.s.;Via Ugo Spirito, 25 Cosenza;0984 27843;radiologicosantanna@pec.it;D.P.G.R. N. 1/2011 DCA N. 208 DEL 24/10/2018 DCA n. 15 del 28/01/2020
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Centro di Diagnostica per Immagine San Francesco s.r.l.;Piazza Donato Bergamini , 21;Cosenza;Centro di Diagnostica per Immagine San Francesco s.r.l.;"Piazza Donato Bergamini , 21 
Cosenza";0984 412191;immaginesanfrancesco@pec.it;DCA N. 06 del 09/01/2023
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Studio Radiologico FEDERICO s.r.l.;Viale G. Mancini, 355;Cosenza;Studio Radiologico FEDERICO s.r.l.;Viale G. Mancini, 355 Cosenza;0984 22984;radiologiafederico@pec.it;"D.P.G.R. N. 1/2011 
DCA n. 27 del 28/01/2020"
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Studio Radiologico Dr. Giovanni PERRI & C. s.a.s.;Via G. Falcone, 202;Cosenza;Studio Radiologico Dr. Giovanni PERRI & C. s.a.s.;Via G. Falcone, 202 Cosenza;0984 36195;radiologiaperri@pec.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Ambulatorio di Fisiatria F. RUFFOLO s.r.l.;C.so L. Fera, 72;Cosenza;Ambulatorio di Fisiatria F. RUFFOLO s.r.l.;C.so L. Fera, 72 Cosenza;0984 35823;ambulatorioruffolosrl@pec.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Studio Medico di Fisiokinesiterapia del Dr. G. STANCATI s.r.l.;Corso Mazzini, 92;Cosenza;Studio Medico di Fisiokinesiterapia del Dr. G. STANCATI s.r.l.;Corso Mazzini, 92 Cosenza;0984 74437;fktstancati@poste-certificate.eu;D.P.G.R. N. 1/2011 Nota prot. n.28620 del 1/2/2016
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;K.T. Aldo FATA Studio di Fisiokinesiterapia;Via Monte Balbo, 20;Cosenza;K.T. Aldo FATA Studio di Fisiokinesiterapia;Via Monte Balbo, 20 Cosenza;0984 21970;studiofata@pec.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Magamo S.r.l. (ex Studio GABRIELE di Curcio Petronio Anna Maria & C. s.a.s.);Via Tancredi, 10;Cosenza;Magamo S.r.l.;Via Tancredi, 10 Cosenza;0984 74453;magamosrl@pec.it;D.P.G.R. N. 1/2011 DCA N. 131 del 19/10/2017
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Clinic Service Center s.r.l.;Via Provinciale ;Piano Lago Mangone;Clinic Service Center s.r.l.;Via Provinciale P. Lago Mangone (CS);0984 969955;clinic@pec.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Centro di Riabilitazione ANMIC;Via Panoramica, 326;San Giovanni in Fiore;Associazione ANMIC;Via Roma ang. S. Croce, 132 Crotone;0984 970912;anmiccdr@legalmail.it;D.P.G.R. N. 1/2011 DCA n. 187 del 20/12/2019
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Ambulatorio di Medicina Fisica e Riabilitativa Casa di Cura M. Misasi;Via F.Miceli Picardi, 32;Cosenza;San Bartolo S.r.l.;P.zza F. Crispi, 6 Cosenza;0984 482231;sanbartolosrl@legalmail.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Studio Odontoiatrico Dr.ssa Maria Vittoria Del Console;Corso D'Italia, 93;Cosenza;Studio Odontoiatrico Dr.ssa Maria Vittoria Del Console;Corso D'Italia, 93 Cosenza;0984 36822;mariavittoriadelconsole@pec.andi.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Studio Odontoiatrico Dr.ssa Alessandra Lo Polito ;Via Misasi, 57;Cosenza;Studio Odontoiatrico Dr.ssa Alessandra Lo Polito ;Via Misasi, 57 Cosenza;0984 74149;alessandralopolito@pec.andi.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Studio Odontoiatrico Dr. Giampiero De Maria;Via Trento, 2;Montalto Uffugo;Studio Odontoiatrico Dr. Giampiero De Maria;Via Trento, 2 Montalto Uffugo (CS);0984 937540;giampiero.demaria.6cyf@cs.omceo.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Studio Odontoiatrico Mazzuca Srls;Viale della Repubblica, 215;Cosenza;Studio Odontoiatrico Mazzuca Srls;Viale della Repubblica, 215 Cosenza;0984 28067;mazzucagiovanni@legalmail.it;D.P.G.R. N. 1/2011 DCA n. 172 del 05/12/2019
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Studio Odontoiatrico Dr.ssa Michela Romano;Viale della Resistenza;Rende;Studio Odontoiatrico Dr.ssa Michela Romano;Viale della Resistenza Rende (CS);0984 467928;romanomichela@legalmail.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Ginecos;Via Rossini, 247;Rende;Centro Clinico San Vitaliano Srl;Via Rossini, 247 Rende (CS);0984 466629;centroclinicosanvitaliano@pec.it;"D.P.G.R. N. 1/2011 
Nota prot. N. 242985 11/07/2012"
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Centro per la cura delle malattie allergiche e cardiopolmonari del Dr. Roberto Marenda s.r.l.;Via Umberto Nobile, 80 Centro Direzionale Marco Polo;Rende;Centro per la cura delle malattie allergiche e cardiopolmonari del Dr. Roberto Marenda s.r.l.;Via Umberto Nobile, 80 Rende (CS);0984 392572;centro.malattie.marendasrl@arubapec.it;D.P.G.R. N. 1/2011 D.P.G.R.-CA N. 133/2013
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;EURO 2000 s.r.l.;Via B. Croce;Montalto Uffugo;EURO 2000 s.r.l.;Piazza Vanvitelli, 15 Napoli;0984 927022;euro2000dialisi@legalmail.it;D.P.G.R. N. 1/2011
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;ANMI Centro Diagnostico s.r.l. (ex Studio Radiologia Medica Perri e Bilotta del Dott. P.G. s.a.s.);Viale Sant'Angelo - Località Crosetto;Corigliano-Rossano;ANMI Centro Diagnostico s.r.l.  ;Via Monte S. Michele, 13 Cosenza;0983 513856;anmicentrodiagnostico@pec.it;"DCA N. 110/2014 
DCA n. 24 DEL 08/02/2017 DCA N. 77 DEL 09.05.2017 DCA n. 106 del 10/05/2018 
DCA n. 210 del 24/10/2018 DCA n. 168 del 03/12/2019 DCA n. 20 del 28/01/2020
DCA n. 26 del 28/012020"
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Santa Lucia s.r.l.;Viale Trieste, 71 ;Cosenza;Santa Lucia s.r.l.;Viale Trieste, 71 Cosenza;0984 26826;santalucia1950@pec.it;"D.C.A. N. 62 DEL 27/02/2018 e N.82 DEL 12/04/2018 DCA N. 82 DEL 08/05/2019
DCA N. 139 del 19/10/2022"
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;ANMI SISS S.r.l.;Viale Sant'Angelo loc. Crosetto ;Corigliano-Rossano;ANMI SISS S.r.l.;Via Monte S. Michele, 13 Cosenza;0983 293019;anmisiss@pec.it ;DCA N. 246 DEL 06/12/2018
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;ANMI SISS S.r.l.;Via Molicella Vicinale, 7/13 - 7/15;Cosenza;ANMI SISS S.r.l.;Via Monte S. Michele, 13 Cosenza;0984 482790;anmisiss@pec.it ;DCA n. 21 del 28/01/2020
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Centro Fisioterapia Kinesis Dott. Conforti Giuseppe;Via Magna Grecia, 3/F;Corigliano-Rossano;Centro Fisioterapia Kinesis Dott. Conforti Giuseppe;Via Magna Grecia, 3/F Corigliano-Rossano (CS);0983 511331;kinesisriab@pec.it;DCA N. 16 DEL 28/01/2020
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;C.S.B. s.r.l. Unipersonale;C.da Cozzo Giardino;Corigliano-Rossano;C.S.B. s.r.l. Unipersonale;C.da Cozzo Giardino Corigliano-Rossano (CS);0983 859110;csbsrl1@legalmail.it;DCA N. 17 DEL 28/01/2020
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Centro di Riabilitazione San Lorenzo A/S s.r.l. ;Via Gelsomini, 9;S. Giovanni in Fiore;Centro di Riabilitazione San Lorenzo A/S s.r.l. ;Via Gelsomini, 9 San Giovanni in Fiore (CS);0984 970020;centrosanlorenzo@pec.it;DCA N. 16 del 10/01/2023
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Laboratorio Analisi Cliniche Centro Diagnostico SALIMBENI-VERSACE s.r.l.;Via Nazionale,40/42;Corigliano-Rossano;Centro Diagnostico SALIMBENI-VERSACE s.r.l.;Via Nazionale, 42 Corigliano-Rossano (CS);0983 885036;centrodiagnostico.srl@pec.it;DCA N. 19 DEL 28/01/2020
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Fisiocenter s.r.l.;Contrada Petraro snc;Cariati;Fisiocenter s.r.l.;Contrada Petraro snc Cariati (CS);0983 91598;fisiocentermaduli@legalmail.it;DCA N. 25 DEL 28/01/2020
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Laboratorio Analisi Cliniche Centro Diagnostico S. FRANCESCO s.r.l.;Via degli Stadi, 2;Cosenza;Centro Diagnostico S. FRANCESCO s.r.l.;Via degli Stadi, 2 Cosenza;0984 412191;centrodiagnosticosfrancesco@pec.it;DCA n. 31 del 28/01/2020
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;CMD s.r.l.;Corso Italia;Montalto Uffugo;CMD s.r.l.;"Corso Italia
Montalto Uffugo (CS)";;cmdpaola@pec.it;DCA N. 102 del 30/08/2022
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Medical Center Karol Wojtila S.r.l.;Via S. Rota, 3;San Giovanni in Fiore;Medical Center Karol Wojtila S.r.l.;"Via S. Rota, 3
San Giovanni in Fiore (CS)";0984 975297;medicalcenterkw@pec.it;DCA N. 99 del 30/08/2022
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Fisiomedical S.r.l.;Via Campo Minore;Belvedere Marittimo;Fisiomedical S.r.l.;"Via Campo Minore
Belvedere Marittimo (CS)";0985 82908;fisiomedical@pec.it;DCA N. 122 del 11/10/2022
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Costruire Il Domani Onlus;Via Gallo Vincenzo, snc;Rogliano;Associazione Costruire Il Domani Onlus;Via Regina Elena, 72 Rogliano (CS);0984 961530;costruireildomanionlus@pec.it;DCA N. 173 del 05/12/2022
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Biocontrol Imaging s.r.l.;Via Schiavello, snc;Castrovillari;Biocontrol Imaging s.r.l.;"Via Trieste, 13
Rende";0981 070012;biocontrolimagingsrl@legalmail.it;DCA N. 175 del 05/12/2022
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Centro Diagnostico Luigi Impieri;Via Giuseppe Fiorillo n. 108;Belvedere Marittimo;Centro Diagnostico Luigi Impieri;"Via Giuseppe Fiorillo n. 108
Belvedere Marittimo";0985 849331;info@centrodiagnosticoimpieri.it;DCA N. 176 del 05/12/2022
STRUTTURA DI SPECIALISTICA AMBULATORIALE      ;CS;Presidio Ambulatoriale di Riabilitazione e Fisioterapia Giovanni Paolo II ;"Corso Italia, snc
Località Pantoni";Montalto Uffugo;F.D.R. S.r.l.;"Corso Italia, 2
Montalto Uffugo";0984 939316;fdrsrl@pec.it;DCA N. 171 del 30/11/2022
