CODICE_ATS,ATS,CODICE_ASST,ASST,AMBITO,COD_EG,DENOMINAZIONE_EG,CODICE_FISCALE_EG,PARTITA_IVA_EG,UNITA_OFFERTE_SOCIALI,CODICE_CUDES,DENOMINAZIONE_STRUTTURA,NR_POSTI,PROV,CAP,COMUNE_DI_UBICAZIONE,FRAZIONE,INDIRIZZO_STRUTTURA,TELEFONO_STRUTTURA,FAX_STRUTTURA,EMAIL_STRUTTURA,SITO_WEB_MAIL,WGS84_Y,WGS84_X,location
030326,ATS DI BRESCIA,030723,ASST DEL GARDA,BASSA BRESCIANA CENTRALE - 9,691160,FONDAZIONE GIROLDI FORCELLA-UGONI,02466660988,02466660988,CENTRO DIURNI ANZIANI,048389,CENTRO DIURNO ANZIANI FONDAZIONE GIROLDI FORCELLA UGONI ONLUS,5,BS,25026,PONTEVICO,,"VIA CAVALIERI DI VITTORIO VENETO,9/A",0309930449,,SEGRETERIA@FORCELLAUGONI.IT,,45.27469,10.08932,POINT (10.08932 45.27469)
030326,ATS DI BRESCIA,030723,ASST DEL GARDA,BASSA BRESCIANA ORIENTALE - 10,119792,COMUNE DI MONTICHIARI,00645400177,00574280988,CENTRO DIURNI ANZIANI,054063,CENTRO DIURNO ANZIANI LAURA NOLLI,70,BS,25018,MONTICHIARI,,"VIA GIUSEPPE GUERZONI,18",030/9989231,,CENTRODIURNO.CASABIANCA@MONTICHIARI.IT,,45.41134,10.3889,POINT (10.3889 45.41134)
030324,ATS DELLA BRIANZA,030717,ASST DELLA BRIANZA,CARATE BRIANZA,135411,SOCIETA' COOPERATIVA SOCIALE RESIDENZE LEGGERE ONLUS,09397480964,09397480964,ALLOGGIO PROTETTO ANZIANI,049702,RESIDENCE TRE PINI,25,MB,20841,CARATE BRIANZA,,"VIA TAGLIAMENTO,1/3",0362 991752,,INFO@RESIDENCETREPINI.IT,,45.6681337,9.2455203,POINT (9.2455203 45.6681337)
030322,ATS DELL'INSUBRIA,030711,ASST DELLA VALLE OLONA,SARONNO,121960,ASSOCIAZIONE ANZIANI ORIGGESI ONLUS,94001240129,94001240129,CENTRO DIURNI ANZIANI,048235,ASSOCIAZIONE ANZIANI ORIGGESI,50,VA,21040,ORIGGIO,,"VIA ALESSANDRO MANZONI,17",02 96731210,,ASAORIGGIO@VIRGILIO.IT,,45.59675,9.01731,POINT (9.01731 45.59675)
030328,ATS DI PAVIA,030727,ASST DI PAVIA,ALTO E BASSO PAVESE,690786,CASA DI RIPOSO DELFINONI,80008480180,01498340189,CENTRO DIURNI ANZIANI,057036,GOTTARDO DELFINONI,2,PV,27022,CASORATE PRIMO,,"VIA PALAZZO,20",02/9056601,,DELFINONI@GOTTARDODELFINONI.IT,WWW.DELFINONI.IT,45.30587,9.01555,POINT (9.01555 45.30587)
030328,ATS DI PAVIA,030727,ASST DI PAVIA,BRONI E CASTEGGIO,690822,PROVINCIA RELIGIOSA SAN MARZIANO DI DON ORIONE,02541960155,02541960155,ALLOGGIO PROTETTO ANZIANI,083508,RESIDENZA DE IL FOCOLARE,18,PV,27050,CORVINO SAN QUIRICO,,"VIA CANONICO ARTURO PERDUCA,3",0383896260,,AMMINISTRAZIONE@DONORIONEFUMO.IT,,45.0261046,9.155505,POINT (9.155505 45.0261046)
030322,ATS DELL'INSUBRIA,030712,ASST LARIANA,OLGIATE COMASCO,120151,VILLA GUARDIA,00602060139,00602060139,CENTRO DIURNI ANZIANI,055095,CENTRO DIURNO ANZIANI COMUNALE,200,CO,22079,VILLA GUARDIA,,"VIA VITTORIO VENETO,51",031480649,,SEGRETERIA1@COMUNE.VILLAGUARDIA.CO.IT,,45.7782218,9.0230107,POINT (9.0230107 45.7782218)
030325,ATS DI BERGAMO,030720,ASST DI BERGAMO EST,SERIATE,690506,UNIVERSIIS SOCIETA' COOPERATIVA SOCIALE,01818390302,01818390302,ALLOGGIO PROTETTO ANZIANI,051003,IL GERMOGLIO,8,BG,24068,SERIATE,,"VIA SAN GIOVANNI BOSCO, 5",3460241032,,SERIATE@UNIVERSIIS.COM,WWW.UNIVERSIIS.COM,45.684261292917,9.720222998225,POINT (9.720222998225 45.684261292917)
030327,ATS DELLA VAL PADANA,030725,ASST DI MANTOVA,SUZZARA,692093,COOPERATIVA SOCIALE SOCIETA' DOLCE SOCIETA' COOPERATIVA,03772490375,03772490375,ALLOGGIO PROTETTO ANZIANI,057127,RSA BOVI ALLOGGI PROTETTI ANZIANI,4,MN,46020,PEGOGNAGA,,"VIA DONATORI DEL SANGUE,18",03765546301,,PEGOGNAGA.MN@LEGAL.MAIL.IT,,44.99302,10.85746,POINT (10.85746 44.99302)
030324,ATS DELLA BRIANZA,030715,ASST DI LECCO,MERATE,120528,L'ACCOGLIENZA SOCIETA' COOPERATIVA SOCIALE ONLUS,03416880130,03416880130,CENTRO DIURNI ANZIANI,052770,HOTEL ADDA,15,LC,23877,PADERNO D'ADDA,,"VIA TOMMASO EDISON,27",039 514015,,INFO@LACCOGLIENZA.ORG,WWW.HOTELADDA.ORG,45.6830492,9.4464847,POINT (9.4464847 45.6830492)
030328,ATS DI PAVIA,030727,ASST DI PAVIA,PAVIA,170592,OVER TICINUM SRL,11632820962,11632820962,ALLOGGIO PROTETTO ANZIANI,055553,GIRASOLE,2,PV,27100,PAVIA,,"VIALE LODI,43",0382/468915,,INFO@OVERTICINUM.IT,,45.189,9.18695,POINT (9.18695 45.189)
030324,ATS DELLA BRIANZA,030715,ASST DI LECCO,BELLANO,125172,FONDAZIONE ANGIOLA MARIA PARUZZI,91016810144,91016810144,ALLOGGIO PROTETTO ANZIANI,053457,IL VIGNETO,14,LC,23824,DERVIO,,"VIA I MAGGIO,3",,,INFO@FONDAZIONE-ANGIOLA-MARIA-PARUZZI.ORG,,46.07756,9.30507,POINT (9.30507 46.07756)
030328,ATS DI PAVIA,030727,ASST DI PAVIA,ALTO E BASSO PAVESE,117205,COMUNE DI SIZIANO,00478370182,00478370182,ALLOGGIO PROTETTO ANZIANI,049657,L'ACERO,11,PV,27010,SIZIANO,,"VIA DELLA STAZIONE,3",0382/6780220,,PATRIZIA.CORNALBA@COMUNE.SIZIANO.PV.IT,WWW.COMUNE.SIZIANO.PV.IT,45.3186177,9.2000495,POINT (9.2000495 45.3186177)
030328,ATS DI PAVIA,030727,ASST DI PAVIA,ALTO E BASSO PAVESE,690492,PII ISTITUTI UNIFICATI,00478980188,00478980188,ALLOGGIO PROTETTO ANZIANI,054338,MINI ALLOGGI PROTETTI PII ISTITUTI UNIFICATI,16,PV,27011,BELGIOIOSO,,"VIA ALDO MORO,70",0382/960445,,DIREZIONE@PEC.PIUBELGIOIOSO.IT,HTTPS://WWW.PIUBELGIOIOSO.IT,45.1547473,9.315626,POINT (9.315626 45.1547473)
030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,CITTIGLIO,690461,FONDAZIONE CASA DI SOGGIORNO E RIPOSO LONGHI FRANCESCO E FAMIGLIA PIANEZZA FEDERICO ONLUS,02432600126,02432600126,ALLOGGIO PROTETTO ANZIANI,048220,ALLOGGI PROTETTI ANZIANI,10,VA,21030,CASALZUIGNO,,"VIA LIBERTA',19/21",0332650061,,INFO@FONDAZIONELONGHIPIANEZZA.IT,WWW.FONDAZIONELONGHIPIANEZZA.IT,45.9066477,8.7114039,POINT (8.7114039 45.9066477)
030325,ATS DI BERGAMO,030719,ASST DI BERGAMO OVEST,ISOLA BERGAMASCA E BASSA VAL SAN MARTINO,112244,FONDAZIONE CASA SERENA ONLUS,04008150163,04008150163,ALLOGGIO PROTETTO ANZIANI,054596,ALLOGGI PROTETTI PER ANZIANI FRAGILI,7,BG,24030,BREMBATE DI SOPRA,,"VIA PAPA GIOVANNI XXIII,4",035620120,,AMMINISTRAZIONE@FONDAZIONECASASERENA.IT,,45.7199006,9.5841708,POINT (9.5841708 45.7199006)
030327,ATS DELLA VAL PADANA,030725,ASST DI MANTOVA,OSTIGLIA,690563,FONDAZIONE GIOVANNI BELFANTI ONLUS,80006970208,01770500203,ALLOGGIO PROTETTO ANZIANI,085308,ALLOGGIO PROTETTO PER ANZIANI,4,MN,46035,OSTIGLIA,,"VIA G.M.BONAZZI,26",0386802312,,SEGRETERIA@FONDAZIONEBELFANTI.IT,,45.0658141,11.1377018,POINT (11.1377018 45.0658141)
030324,ATS DELLA BRIANZA,030715,ASST DI LECCO,LECCO,690672,KCS CAREGIVER COOPERATIVA SOCIALE,02125100160,02125100160,ALLOGGIO PROTETTO ANZIANI,053161,LA CORTE,11,LC,23851,GALBIATE,,"PIAZZALE ACHILLE GRANDI,1",0341 242011,,SEGRETERIA@RSAVILLASERENA.COM,,45.792,9.36878,POINT (9.36878 45.792)
030325,ATS DI BERGAMO,030719,ASST DI BERGAMO OVEST,TREVIGLIO,690500,FONDAZIONE ANNI SERENI TREVIGLIO CARAVAGGIO E FARA GERA D'ADDA ONLUS,84000910160,02110110166,ALLOGGIO PROTETTO ANZIANI,052125,MINI ALLOGGI BONDIOLI,10,BG,24047,TREVIGLIO,,"PIAZZALE OSPEDALE LUIGI MENEGUZZO,5",036341612,,SEGRETERIA@ANNISERENI.NET,,45.51121,9.60959,POINT (9.60959 45.51121)
030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,CITTIGLIO,121997,ASSOCIAZIONE CENTRO SOCIALE RICREATIVO ANZIANI,92004700123,92004700123,CENTRO DIURNI ANZIANI,053171,CENTRO SOCIALE RICREATIVO ANZIANI,100,VA,21036,GEMONIO,,"VIA E.CURTI,8/A",0332601922,,INFO@COMUNE.GEMONIO.VA.IT,,45.8828105,8.6748227,POINT (8.6748227 45.8828105)
030323,ATS DELLA MONTAGNA,030713,ASST DELLA VALTELLINA E DELL'ALTO LARIO,SONDRIO,691262,CASA DI RIPOSO COSTANTE PATRIZI ONLUS,80002590141,00580700144,CENTRO DIURNI ANZIANI,049800,CENTRO DIURNO ANZIANI PONTE IN VALTELLINA,10,SO,23026,PONTE IN VALTELLINA,,"VIA DIEGO GUICCIARDI,3",0342482240,,INFO@CASADIRIPOSOPATRIZI.IT,WWW.CASADIRIPOSOPATRIZI.IT,46.1745493,9.9775983,POINT (9.9775983 46.1745493)
030326,ATS DI BRESCIA,030723,ASST DEL GARDA,BASSA BRESCIANA CENTRALE - 9,690616,FONDAZIONE ETS LONGINI MORELLI SIRONI DI PRALBOINO,88003570178,00621130988,CENTRO DIURNI ANZIANI,053318,CDA FONDAZIONE LONGINI MORELLI ONLUS,5,BS,25020,PRALBOINO,,"VIA MORELLI,10",030954234,,ONLUS@CASADIRIPOSOPRALBOINO.IT,,45.26634,10.21852,POINT (10.21852 45.26634)
030322,ATS DELL'INSUBRIA,030712,ASST LARIANA,MARIANO COMENSE,120130,ASSOCIAZIONE ANZIANI DI MARIANO COMENSE,90017200131,90017200131,CENTRO DIURNI ANZIANI,056257,ASSOCIAZIONE ANZIANI MARIANO COMENSE,50,CO,22066,MARIANO COMENSE,,"VIA SANTO STEFANO,40",377/2619567-03124932,,ELISABETTA.SCESI@GMAIL.COM,,45.6965442,9.1766573,POINT (9.1766573 45.6965442)
030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030709,ASST DI LODI,LODI,117946,ASP BASSO LODIGIANO,90519590153,90519590153,ALLOGGIO PROTETTO ANZIANI,091364,A.P.A. DUE TORRI,13,LO,26843,CASTELNUOVO BOCCA D'ADDA,,"VIA CAMILLO BENSO CAVOUR,6",03777721,,INFO@ASPBASSOLODIGIANO.IT,WWW.ASPBASSOLODIGIANO.IT,45.1125648,9.8678301,POINT (9.8678301 45.1125648)
030323,ATS DELLA MONTAGNA,030714,ASST DELLA VALCAMONICA,VALLECAMONICA,124047,COMUNE DI ESINE,81002230175,00723560983,CENTRO DIURNI ANZIANI,056745,CENTRO DIURNO ANZIANI,70,BS,25040,ESINE,,"VIA CIVITANOVA MARCHE,1/A",0364/360166,,INFO@COMUNE.ESINE.BS.IT,HTTP://WWW.COMUNE.ESINE.BS.IT/,45.9239739,10.2552709,POINT (10.2552709 45.9239739)
030328,ATS DI PAVIA,030727,ASST DI PAVIA,LOMELLINA,732588,ALE.MAR. COOPERATIVA SOCIALE ONLUS,01956990186,01956990186,ALLOGGIO PROTETTO ANZIANI,094671,A.P.A. CORINI MAGNAGHI,12,PV,27034,LOMELLO,,"VIA CORINI,2",388/7316134,,INFO@RESIDENZACORINIMAGNAGHI.IT,,45.1215806,8.7925981,POINT (8.7925981 45.1215806)
030324,ATS DELLA BRIANZA,030715,ASST DI LECCO,LECCO,121155,SOCIETA' COOPERATIVA SOCIALE LARCOBALENO ONLUS,07123650967,07123650967,ALLOGGIO PROTETTO ANZIANI,051986,POLO FRASSONI,24,LC,23900,LECCO,,"VIA GORIZIA, 2",335 7663753,,,,45.86457,9.39458,POINT (9.39458 45.86457)
030328,ATS DI PAVIA,030727,ASST DI PAVIA,ALTO E BASSO PAVESE,732588,ALE.MAR. COOPERATIVA SOCIALE ONLUS,01956990186,01956990186,ALLOGGIO PROTETTO ANZIANI,075548,FONDAZIONE CARLOTTA POLLINI ONLUS,24,PV,27019,VILLANTERIO,,"PIAZZA MERCATO CASTELLO,11",0382967122,,FONDAZIONEPOLLINI@GMAIL.COM,,45.21656,9.36177,POINT (9.36177 45.21656)
030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,LUINO,121962,ASSOCIAZIONE VOLONTARIATO ANZIANI FORTUNATO VIOLA,93012150129,93012150129,CENTRO DIURNI ANZIANI,051918,ASSOCIAZIONE VOLONTARIATO ANZIANI FORTUNATO VIOLA,20,VA,21037,LAVENA PONTE TRESA,,"VIA VARESE,2",0332/523502,,,,45.9667661,8.8533381,POINT (8.8533381 45.9667661)
030328,ATS DI PAVIA,030727,ASST DI PAVIA,PAVIA,690361,ISTITUZIONI ASSISTENZIALI RIUNITE DI PAVIA - AZIENDA DI SERVIZI ALLA PERSONA,02030350181,02030350181,ALLOGGIO PROTETTO ANZIANI,061808,APPARTAMENTI PROTETTI ASP ISTITUZIONI ASSISTENZIALI RIUNITE DI PAVIA,10,PV,27100,PAVIA,,"VIALE GIACOMO MATTEOTTI,63",03823811,,INFO@ASPPAVIA.IT,WWW.ASPPAVIA.IT,45.19033,9.15258,POINT (9.15258 45.19033)
030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030708,ASST MELEGNANO E DELLA MARTESANA,PAULLO,690770,COOPERATIVA SOCIALE RIEDUCAZIONE MOTORIA ONLUS,08029590158,08029590158,ALLOGGIO PROTETTO ANZIANI,050723,MINIALLOGGI PAULLO,32,MI,20067,PAULLO,,"VIA VIGNA DEL RONCO,11",0290639806,,RSA.CDIPAULLO@CRMSOCIALE.IT,,45.42158,9.39964,POINT (9.39964 45.42158)
030327,ATS DELLA VAL PADANA,030724,ASST DI CREMONA,CREMONA,690519,FONDAZIONE ESILDA E FRANCESCO SOLDI ETS,80002390195,00748800190,ALLOGGIO PROTETTO ANZIANI,054485,MINI ALLOGGI PROTETTI PER ANZIANI,2,CR,26039,VESCOVATO,,"VIA GIUSEPPE GARIBALDI,93",0372818068,,DIREZIONEGENERALE@FONDAZIONESOLDI.IT,,45.1757367,10.1687282,POINT (10.1687282 45.1757367)
030322,ATS DELL'INSUBRIA,030711,ASST DELLA VALLE OLONA,GALLARATE,202108,ARES SOCIETA' COOPERATIVA SOCIALE,02437650068,02437650068,ALLOGGIO PROTETTO ANZIANI,100083,A.P.A. N.2 VILLA CRISTINA,2,VA,21013,GALLARATE,,"VIA ADELAIDE RISTORI, 25",3664569586,,ARESOCIALE@VIRGILIO.IT,,45.667302317762,8.812621686986,POINT (8.812621686986 45.667302317762)
030326,ATS DI BRESCIA,030722,ASST DELLA FRANCIACORTA,BASSA BRESCIANA OCCIDENTALE - 8,166093,OVER VILLAS SRL,11062470965,11062470965,ALLOGGIO PROTETTO ANZIANI,076008,ALLOGGI PROTETTI PER ANZIANI VILLA LINA,14,BS,25027,QUINZANO D'OGLIO,,"VIA BERNARDO DA QUINZANO,1",0266669141,,INFO@VIVEREOVER.IT,,45.3092447,10.0071008,POINT (10.0071008 45.3092447)
030327,ATS DELLA VAL PADANA,030725,ASST DI MANTOVA,OSTIGLIA,120710,CIRCOLO SOCIALE RICREATIVO POGGESE,93008370202,93008370202,CENTRO DIURNI ANZIANI,055003,CENTRO DIURNO ANZIANI CIRCOLO SOCIALE RICREATIVO POGGESE,20,MN,46025,POGGIO RUSCO,,"VIA GIUSEPPE MAZZINI,21",0386/733964,,,,44.97566,11.11995,POINT (11.11995 44.97566)
030327,ATS DELLA VAL PADANA,030724,ASST DI CREMONA,CREMONA,130454,CASA DI PROCURA DELLA CONGREGAZIONE DELLE SUORE CARMELITANE DEL DIVIN CUORE DI GESU',13819011001,13819011001,ALLOGGIO PROTETTO ANZIANI,055112,CASA SAN GIUSEPPE E SAN LORENZO,75,CR,26100,CREMONA,,"VIA ALTOBELLO MELONE,33",0372/28784,,CARMELITANE@VIRGILIO.IT,,45.12994,10.02542,POINT (10.02542 45.12994)
030322,ATS DELL'INSUBRIA,030712,ASST LARIANA,LOMAZZO - FINO MORNASCO,200674,IUVENTAS SRL,03948200138,03948200138,CENTRO DIURNI ANZIANI,098258,IUVENTAS SRL,40,CO,22070,VERTEMATE CON MINOPRIO,,VIA CANTURINO 4,0315008600,,IUVENTASSRL@GMAIL.COM,IUVENTASSRL@GMAIL.COM,45.7270419,9.07903113,POINT (9.07903113 45.7270419)
030325,ATS DI BERGAMO,030720,ASST DI BERGAMO EST,ALBINO VALLE SERIANA,690723,FONDAZIONE HONEGGER R.S.A.,80025590169,01724950165,ALLOGGIO PROTETTO ANZIANI,052161,"ALLOGGI PROTETTI PER ANZIANI ""CASA SORELLE PICCOLI""",6,BG,24021,ALBINO,,"VIA BENIGNO CRESPI,6",035759450,,INFO@FONDAZIONEHONEGGER.IT,WWW.FONDAZIONEHONEGGER.IT,45.7583753,9.7893894,POINT (9.7893894 45.7583753)
030323,ATS DELLA MONTAGNA,030714,ASST DELLA VALCAMONICA,VALLECAMONICA,132369,COMUNE DI PIAN CAMUNO,00641410170,00574180980,CENTRO DIURNI ANZIANI,050842,CENTRO DIURNO PER ANZIANI E PENSIONATI,50,BS,25050,PIAN CAMUNO,,"VIA TORRE,13",0364/590297,,INFO@COMUNE.PIANCAMUNO.BS.IT,HTTP://WWW.COMUNE.PIANCAMUNO.BS.IT/,45.8440741,10.1565737,POINT (10.1565737 45.8440741)
030326,ATS DI BRESCIA,030722,ASST DELLA FRANCIACORTA,MONTE ORFANO - 6,119795,COMUNE DI ORZINUOVI,00850450172,00582230983,CENTRO DIURNI ANZIANI,055286,CENTRO DIURNO ANZIANI SAN PANCRAZIO,85,BS,25036,PALAZZOLO SULL'OGLIO,,"PIAZZA INDIPENDENZA,3",030/738525,,,,45.61074,9.91949,POINT (9.91949 45.61074)
030328,ATS DI PAVIA,030727,ASST DI PAVIA,BRONI E CASTEGGIO,194773,LE RESIDENZE SRLS,02935910188,02935910188,ALLOGGIO PROTETTO ANZIANI,095845,LE RESIDENZE,12,PV,27040,VERRUA PO,,"VIA SUPPELLONE,84",0385/740560,,VILLAREGINAINFO@LIBERO.IT,,45.0942739,9.1635968,POINT (9.1635968 45.0942739)
030327,ATS DELLA VAL PADANA,030725,ASST DI MANTOVA,GUIDIZZOLO,690467,FONDAZIONE FRANCO NICOLAI ETS,81003970209,01564480208,ALLOGGIO PROTETTO ANZIANI,049952,FONDAZIONE FRANCO NICOLAI ONLUS,15,MN,46049,VOLTA MANTOVANA,,"VIA POLLUCE BOSELLI,2",0376/83071,,INFO@FONDAZIONENICOLAI.IT,,45.3244643,10.6588489,POINT (10.6588489 45.3244643)
030328,ATS DI PAVIA,030727,ASST DI PAVIA,VOGHERA E COMUNITA' MONTANA OLTREPO' PAVESE,195013,ESSETI MULTISERVICE SRLS,02924650183,02924650183,ALLOGGIO PROTETTO ANZIANI,084548,IL QUADRIFOGLIO,8,PV,27050,RETORBIDO,,"VIA TORRICELLE,24",3349788043,,,,44.94583,9.04367,POINT (9.04367 44.94583)
030326,ATS DI BRESCIA,030722,ASST DELLA FRANCIACORTA,OGLIO OVEST - 7,690548,FONDAZIONE LUCINI CANTU' ETS,82001610177,00724560982,ALLOGGIO PROTETTO ANZIANI,051580,ALLOGGIO PROTETTO PER ANZIANI,12,BS,25038,ROVATO,,"VIA SAN MARTINO DELLA BATTAGLIA,21",030 7722095,,FONDAZIONELUCINICANTUONLUS@GMAIL.COM,,45.56262,10.00118,POINT (10.00118 45.56262)
030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030703,ASST FATEBENEFRATELLI SACCO,MILANO CITTA',691715,PRO.GES. - SOCIETA' COOPERATIVA SOCIALE,01534890346,01534890346,ALLOGGIO PROTETTO ANZIANI,077948,ALLOGGI PROTETTI PER ANZIANI SO.F.I.A.,22,MI,20128,MILANO,,"VIA PUBLIO ELIO ADRIANO,109",02 25941011,,PROGES@PROGES.IT  PRO.GES@LEGALMAIL.IT,WWW.PROGES.IT,45.5178962,9.2439767,POINT (9.2439767 45.5178962)
030324,ATS DELLA BRIANZA,030717,ASST DELLA BRIANZA,SEREGNO,690451,FONDAZIONE DON CARLO GNOCCHI ETS,04793650583,12520870150,ALLOGGIO PROTETTO ANZIANI,052196,APA FONDAZIONE DON GNOCCHI,25,MB,20831,SEREGNO,,"VIA CARDINALE MINORETTI,18",0362 323151,,INFO.SEREGNO@DONGNOCCHI.IT,,45.65463,9.1946,POINT (9.1946 45.65463)
030327,ATS DELLA VAL PADANA,030725,ASST DI MANTOVA,MANTOVA,141608,CENTRO SOCIALE CASTELDARIESE,93010200207,93010200207,CENTRO DIURNI ANZIANI,054603,CENTRO DIURNO PER ANZIANI,99,MN,46033,CASTEL D'ARIO,,"PIAZZA GIUSEPPE GARIBALDI,100",0376-660612,,,,45.18905,10.97502,POINT (10.97502 45.18905)
030327,ATS DELLA VAL PADANA,030725,ASST DI MANTOVA,ASOLA,691328,FONDAZIONE ETS CASA LEANDRA,81001370204,01608240204,ALLOGGIO PROTETTO ANZIANI,048862,ALLOGGI PROTETTI PER ANZIANI,3,MN,46013,CANNETO SULL'OGLIO,,"PIAZZA ANTONIO GRAMSCI,61",0376/723823,,INFO@FONDAZIONELEANDRA.IT,,45.14889,10.38025,POINT (10.38025 45.14889)
030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030707,ASST NORD MILANO,CINISELLO BALSAMO,690715,FONDAZIONE MANTOVANI ONLUS,11779830154,11779830154,ALLOGGIO PROTETTO ANZIANI,057066,CASA FAMIGLIA DI CORMANO,24,MI,20032,CORMANO,,"STRADA STATALE 35 DEI GIOVI,118",0261540848,,CORMANO@FONDAZIONEMANTOVANI.IT,,45.5372,9.15972,POINT (9.15972 45.5372)
030322,ATS DELL'INSUBRIA,030712,ASST LARIANA,CAMPIONE D'ITALIA,120148,COMUNE DI CAMPIONE D'ITALIA,80009700131,80009700131,ALLOGGIO PROTETTO ANZIANI,055094,CASA PER ANZIANI AUTOSUFFICIENTI DI VIA TOTONE,6,CO,22061,CAMPIONE D'ITALIA,,"VIA TOTONE,12",013272463,,PROTOCOLLO@COMUNECAMPIONE.CH,,45.97098,8.97319,POINT (8.97319 45.97098)
030327,ATS DELLA VAL PADANA,030725,ASST DI MANTOVA,GUIDIZZOLO,690452,C.S.A. COOPERATIVA SERVIZI ASSISTENZIALI - SOCIETA' COOPERATIVA SOCIALE,01697440202,01697440202,ALLOGGIO PROTETTO ANZIANI,057150,DIECI MINI ALLOGGI PROTETTI PER ANZIANI AUTOSUFFICIENTI,20,MN,46044,GOITO,,"VIA CESARE BATTISTI,17",,,,,45.25649,10.66803,POINT (10.66803 45.25649)
030327,ATS DELLA VAL PADANA,030724,ASST DI CREMONA,CREMONA,690436,FONDAZIONE CASA DI RIPOSO SAN GIUSEPPE ETS,80002410191,00825790199,ALLOGGIO PROTETTO ANZIANI,055248,MINI ALLOGGI PROTETTI,10,CR,26031,ISOLA DOVARESE,,"LARGO VITTORIA,20",0375/946023,,ASP@CASADIRIPOSOSANGIUSEPPE.IT,,45.1748266,10.3132968,POINT (10.3132968 45.1748266)
030322,ATS DELL'INSUBRIA,030711,ASST DELLA VALLE OLONA,SOMMA LOMBARDO,125849,CENTRO DIURNO ANZIANI EMILIO E MARIA ROSSI,91021970123,91021970123,CENTRO DIURNI ANZIANI,049285,CENTRO DIURNO ANZIANI EMILIO E MARIA ROSSI,50,VA,21010,ARSAGO SEPRIO,,"VIA MAGENTA,1",0331767040,,CDA.ARSAGO@GMAIL.COM,,45.6880104,8.7305577,POINT (8.7305577 45.6880104)
030323,ATS DELLA MONTAGNA,030713,ASST DELLA VALTELLINA E DELL'ALTO LARIO,TIRANO,690559,FONDAZIONE CASA DI RIPOSO S. ORSOLA ETS,83000750147,00569650146,ALLOGGIO PROTETTO ANZIANI,049456,FONDAZIONE CASA DI RIPOSO S. ORSOLA ONLUS,16,SO,23036,TEGLIO,,"VIALE ITALIA,21",0342782243,,S.ORSOLA@LIBERO.IT,,46.1728871,10.0627016,POINT (10.0627016 46.1728871)
030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030709,ASST DI LODI,LODI,117946,ASP BASSO LODIGIANO,90519590153,90519590153,ALLOGGIO PROTETTO ANZIANI,093710,A.P.A BONOMI,10,LO,26838,TAVAZZANO CON VILLAVESCO,,"VIA IV NOVEMBRE,SNC",0377/7721,,INFO@ASPBASSOLODIGIANO.IT,PEC@PEC.ASPBASSOLODIGIANO.IT,45.32915984,9.40560286,POINT (9.40560286 45.32915984)
030327,ATS DELLA VAL PADANA,030725,ASST DI MANTOVA,GUIDIZZOLO,690452,C.S.A. COOPERATIVA SERVIZI ASSISTENZIALI - SOCIETA' COOPERATIVA SOCIALE,01697440202,01697440202,ALLOGGIO PROTETTO ANZIANI,052110,APA VILLA MADDALENA,6,MN,46044,GOITO,,"VIA CESARE BATTISTI,17",,,,,45.25649,10.66803,POINT (10.66803 45.25649)
030327,ATS DELLA VAL PADANA,030725,ASST DI MANTOVA,GUIDIZZOLO,120709,CENTRO ANZIANI AUSER GOITESE,90002550201,90002550201,CENTRO DIURNI ANZIANI,047634,CENTRO RICREATIVO ARCOBALENO,60,MN,46044,GOITO,,"VIA CIRCONVALLAZIONE EST,23",0376/688354,,,,45.25504,10.67573,POINT (10.67573 45.25504)
030327,ATS DELLA VAL PADANA,030724,ASST DI CREMONA,CREMONA,690854,FONDAZIONE GUIDA DR. VENCESLAO ETS,00922530191,00922530191,ALLOGGIO PROTETTO ANZIANI,056481,MINI ALLOGGI PROTETTI,18,CR,26020,ACQUANEGRA CREMONESE,,"VIA SESTO,10",0372/70106,,AMMINISTRAZIONE@FONDAZIONEGUIDA.IT,,45.1841,9.88781,POINT (9.88781 45.1841)
030327,ATS DELLA VAL PADANA,030725,ASST DI MANTOVA,OGLIO PO,690552,FONDAZIONE MAZZUCCHINI CASA DI RIPOSO POMPONESCO ETS,01542450208,01542450208,ALLOGGIO PROTETTO ANZIANI,052551,ALLOGGI PROTETTI PER ANZIANI,5,MN,46030,POMPONESCO,,"VIA GIUSEPPE GARIBALDI,34",0375/86024,,CDR.POMPONESCO@TISCALI.IT,,44.9283647,10.5958723,POINT (10.5958723 44.9283647)
030326,ATS DI BRESCIA,030721,ASST DEGLI SPEDALI CIVILI DI BRESCIA,BRESCIA OVEST - 2,690545,FONDAZIONE RESIDENZA BERARDI MANZONI ETS,80011870179,01427710171,ALLOGGIO PROTETTO ANZIANI,048388,ALLOGGI PROTETTI PER ANZIANI DI RONCADELLE,6,BS,25030,RONCADELLE,,"VIA SAN BERNARDINO,63 B",0302780503,,INFO@BERARDIMANZONI.COM,,45.52959956,10.14689233,POINT (10.14689233 45.52959956)
